metric/nrmse_sum,metric/nmae_sum,metric/nrmse,metric/nmae,metric/mae,metric/mse,metric/rmse,metric/mape,metric/mspe,metric/rse,metric_glu/CRPS,metric_glu/ND,metric_glu/NRMSE,metric_glu/CRPS_Sum,metric_glu/ND_Sum,metric_glu/NRMSE_Sum,metric_rs/nrmse_sum,metric_rs/nmae_sum,metric_rs/nrmse,metric_rs/nmae,metric_rs/mae,metric_rs/mse,metric_rs/rmse,metric_rs/mape,metric_rs/mspe,metric_rs/rse,metric_glu_rs/CRPS,metric_glu_rs/ND,metric_glu_rs/NRMSE,metric_glu_rs/CRPS_Sum,metric_glu_rs/ND_Sum,metric_glu_rs/NRMSE_Sum,multisample_glu_rs/CRPS,multisample_glu_rs/ND,multisample_glu_rs/NRMSE,multisample_glu_rs/CRPS_Sum,multisample_glu_rs/ND_Sum,multisample_glu_rs/NRMSE_Sum,dataset,model,train_epochs,pred_len,label_len,time,setting
0.007341287,0.006088192,1.2346667,0.9981586,0.77038425,0.9080614,0.9529225,3.8101606,91065.63,1.08576,0.9981585726806014,0.9981585740406859,1.2346668515926602,1.0228162594608943,1.022816257390184,1.233336199041097,0.009870974,0.008215135,1.8580416,1.4048116,43.26702,3274.829,57.226124,41459420.0,9522358000000000.0,1.0518531,1.4048116848347059,1.4048116833608884,1.8580415618003778,1.380142719423566,1.3801427132242496,1.658323479883279,1.386029226990709,1.4028540522877222,1.8580415624879736,1.3780787055167723,1.380029814028221,1.6583235121401703,sol,TimeDiff,40,24,12,2023-11-17_11-57-58,sol_sol_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.006946161,0.005758829,1.1731498,0.9482775,0.73188573,0.8198278,0.90544343,3.3351045,53353.973,1.0316623,0.9482774444442151,0.948277443696803,1.1731498818196595,0.9674832996692387,0.9674833012362627,1.1669550295392728,0.009338861,0.007772361,1.7657259,1.3352174,41.123577,2957.4973,54.382877,40000344.0,9015098000000000.0,0.99959254,1.3352173544780455,1.3352173528750755,1.7657258869947186,1.3057565065132497,1.3057565144345986,1.568928712252909,1.316503768306879,1.3331747391597466,1.765725888791706,1.3037378297140172,1.3055688487268697,1.568928695205493,sol,TimeDiff,40,24,12,2023-11-17_11-57-58,sol_sol_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.006982191,0.0057652183,1.1781087,0.9516128,0.73445994,0.82677317,0.9092707,2.6157107,18669.844,1.0360231,0.9516128532404577,0.951612855350733,1.1781087015020626,0.9685565722004317,0.9685565712490245,1.1730080906509905,0.009388044,0.007781388,1.7731909,1.3398025,41.264793,2982.5571,54.612793,39187784.0,8555062000000000.0,1.0038184,1.339802539974051,1.3398025409359673,1.773190909237807,1.3072729781383998,1.3072729498970692,1.577191334341691,1.3210363129680596,1.3377614592482672,1.773190913235234,1.3048476659387205,1.3070356455736716,1.5771913377333124,sol,TimeDiff,40,24,12,2023-11-17_11-57-58,sol_sol_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0070069316,0.0058994,1.1823592,0.97941166,0.7559153,0.8327499,0.91255134,2.2177198,15168.893,1.0397611,0.9794117072078654,0.9794117078053338,1.1823592758686952,0.9910991938315693,0.9910991599726562,1.1771644640021117,0.009428709,0.007967931,1.7833949,1.3794508,42.485928,3016.983,54.92707,43074676.0,1.0281083e+16,1.009595,1.3794507751439724,1.379450780236076,1.783394923586668,1.3386124818029397,1.3386125059113927,1.5840230925377687,1.3603506133176144,1.377071387637276,1.7833949218106195,1.3361027128620644,1.3380221436277475,1.5840231195537182,sol,TimeDiff,40,24,12,2023-11-17_11-57-58,sol_sol_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.0070971004,0.005912285,1.1966453,0.97264224,0.7506906,0.85299516,0.92357737,2.9185846,32989.594,1.0523242,0.9726422675417723,0.972642266871901,1.1966453429898674,0.9932637899479836,0.993263795096777,1.1923127321330949,0.009547576,0.007981088,1.8033044,1.3695678,42.181538,3084.721,55.540264,41132144.0,9499580000000000.0,1.0208659,1.3695678730664376,1.3695678759582413,1.803304463605677,1.3408228635832973,1.3408228680605816,1.603992771915527,1.3507860190008198,1.367655466617641,1.8033044678146217,1.338785272903394,1.3407161406284906,1.603992775250477,sol,TimeDiff,40,24,12,2023-11-17_11-57-58,sol_sol_24_24_TimeDiff_custom_gluonts_ftH_sl24_ll12_pl24_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.027161796,0.021619627,1.3578244,0.956284,0.61436987,0.76098,0.8723417,3.3877697,1788.4836,1.0323141,0.9562840515597877,0.9562840509269168,1.3578244285726433,1.0377420779483613,1.0377420849911616,1.3037661648732204,0.009777196,0.007119286,1.1264548,0.61133814,25.840475,2267.0735,47.613796,30706584.0,2.977657e+17,0.8351381,0.6113380880183762,0.6113380867768361,1.1264548582125036,0.3417257299967162,0.34172572643110916,0.4693054007641149,0.6025345902455738,0.611311098108326,1.1264548624041733,0.3409525496035393,0.3417885952147157,0.4693054007641149,cup,TimeDiff,40,48,12,2023-11-17_12-36-24,cup_cup_48_48_TimeDiff_custom_gluonts_ftH_sl48_ll12_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.02910841,0.02113044,1.3902919,1.0211889,0.6560684,0.7978074,0.89320064,3.1298828,1295.2665,1.0569981,1.0211890383820015,1.0211890422970085,1.3902920223489712,1.0142611529221819,1.0142611634863823,1.397203702492121,0.0104258815,0.0077652843,1.1482807,0.634529,26.820723,2355.777,48.536346,36295504.0,3.9727083e+17,0.85131955,0.6345289843634351,0.6345289826844915,1.148280772175051,0.37273364310566776,0.3727336431056677,0.5004422976926426,0.6256770381891507,0.6342123402367819,1.14828077804814,0.37199268524420104,0.37272477187531305,0.5004422976926426,cup,TimeDiff,40,48,12,2023-11-17_12-36-24,cup_cup_48_48_TimeDiff_custom_gluonts_ftH_sl48_ll12_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.02911317,0.021139365,1.3902541,1.0210545,0.6559821,0.79776406,0.8931764,3.1315339,1302.6581,1.0569695,1.0210546530303004,1.0210546515438705,1.39025425738628,1.0146895127618922,1.0146894784282408,1.3974321635173996,0.0104271,0.007768758,1.1482041,0.6344818,26.818727,2355.4624,48.533108,36310570.0,3.9756004e+17,0.8512627,0.6344818302571219,0.6344818302470573,1.1482040625383805,0.3729004101132711,0.3729003994164499,0.5005008056224246,0.6255899846090338,0.6341369019168487,1.1482040731285608,0.3721742332881904,0.37300833747324086,0.5005007851663018,cup,TimeDiff,40,48,12,2023-11-17_12-36-24,cup_cup_48_48_TimeDiff_custom_gluonts_ftH_sl48_ll12_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.028723614,0.020597372,1.3871627,1.0000674,0.64249873,0.79422003,0.89119023,2.7684112,907.20355,1.0546191,1.000067331366111,1.0000673341043569,1.387162769146996,0.9886738560736928,0.9886738249313102,1.3787334874343917,0.01048895,0.0075771594,1.1693416,0.64615536,27.312153,2442.9849,49.42656,35587296.0,3.719179e+17,0.86693376,0.646155292572685,0.6461552936189169,1.1693415481788998,0.36370365053125836,0.36370364340004424,0.5034695939123717,0.6372265199968609,0.6457440260369731,1.1693415455237979,0.3629719534990162,0.3636572049337505,0.5034696142478708,cup,TimeDiff,40,48,12,2023-11-17_12-36-24,cup_cup_48_48_TimeDiff_custom_gluonts_ftH_sl48_ll12_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
0.028723393,0.020594878,1.3871766,0.9999265,0.64240825,0.794236,0.8911992,2.767509,909.2724,1.0546297,0.9999265478572553,0.9999265480567472,1.3871766632264857,0.988554089128282,0.988554153668944,1.3787228258670898,0.010490868,0.007578235,1.169614,0.64614254,27.311613,2444.1228,49.438072,35599116.0,3.7234442e+17,0.8671356,0.6461425594074881,0.6461425575549976,1.1696138242191767,0.36375530548067464,0.3637553019150676,0.5035616849678266,0.6372151744354356,0.6457592913318269,1.1696138347312806,0.36300286629880635,0.3638004852876777,0.5035616849678266,cup,TimeDiff,40,48,12,2023-11-17_12-36-24,cup_cup_48_48_TimeDiff_custom_gluonts_ftH_sl48_ll12_pl48_dm512_nh8_el2_dl1_df2048_fc1_ebtimeF_dtTrue_test_0
