"Name","model","dataset_name","Tags","metric_glu_rs/NRMSE_Sum","metric_glu_rs/ND_Sum","metric_glu_rs/CRPS_Sum","pred_len","epoch","Notes","Runtime","input_dim","enc_in","D3PM_kernel_size","T","UNet_Type","ablation_study_F_type","ablation_study_case","ablation_study_masking_tau","ablation_study_masking_type","beta_max","cond_ddpm_channels_conv","cond_ddpm_num_layers","ddpm_channels_conv","ddpm_channels_fusion_I","ddpm_dim_diff_steps","ddpm_inp_embed","ddpm_layers_I","ddpm_layers_II","ddpm_layers_inp","device","diff_steps","dim_LSTM","interval","model_channels","nfe","num_vars","ot_ode","parameterization","pretrain_epochs","t0","type_sampler","use_freq_enhance","use_window_normalization","vis_ar_part","weight_pred_loss","metric/rse","metric/nrmse","metric_glu_rs/CRPS","metric_glu_rs/ND","metric_glu_rs/NRMSE","metric/nmae_sum","metric/nrmse_sum","metric_glu/CRPS","metric_glu/CRPS_Sum","metric_glu/NRMSE","metric_rs/corr","metric_rs/mae","metric_rs/mape","metric_rs/mse","metric_rs/mspe","metric_rs/nmae","metric_rs/nmae_sum","metric_rs/nrmse","metric_rs/nrmse_sum","metric_rs/rmse","metric_rs/rse","metric_glu/ND_Sum","metric_glu/ND","metric/nmae","metric_glu/NRMSE_Sum (Min)","lr_optim"
"patchtst_2023-11-17_02-37-23","TimeDiff","cup","","0.5004423590681807","0.36281517969632665","0.3628151618682914","48","39","wn_l5_4","16497","270","270","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","270","true","x_start","20","0.0001","dpm","0","true","0","0","1.034199833869934","1.3603047132492063","0.6349846094571991","0.6349846067412994","1.1641578947630975","0.02068118192255497","0.02829401008784771","0.9647698729148442","0.992696724282137","1.360304776005559","{""_type"":""histogram"",""bins"":[-0.5,-0.46875,-0.4375,-0.40625,-0.375,-0.34375,-0.3125,-0.28125,-0.25,-0.21875,-0.1875,-0.15625,-0.125,-0.09375,-0.0625,-0.03125,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5],""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]}","26.83998107910156","35655396","2421.37353515625","419181798702972900","0.6349846124649048","0.007558649405837059","1.1641578674316406","0.010425882413983343","49.20745468139648","0.8630906343460083","0.9926966724515288","0.964769872999406","0.9647697806358336","1.3336478480854668","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-23","TimeDiff","elec","","0.3677297828391313","0.3478733709565848","0.3478733593315781","24","39","wn_l5_4","15268","370","370","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","370","true","x_start","20","0.0001","dpm","0","true","0","0","0.9677915573120116","1.0943702459335327","0.37771540275729665","0.377715400284923","3.5372870672630508","0.005573296453803778","0.0059741185978055","0.928657639218198","0.9363137431565248","1.0943701689927652","[0.007517306599766016,0.006243767682462931,0.005882927216589451,0.005357315298169851,0.004780260846018791,0.003972592763602734,0.0034784593153744936,0.0035524533595889807,0.002846333896741271,0.0028116144239902496,0.003473919816315174,0.0024305402766913176,0.0020856319461017847,0.0016775652766227722,0.0008430180023424327,0.0003812428039964289,0.00024166013463400304,0.00007759429718134925,0.000052935753046767786,0.000054011139582144096,-0.0008790587307885289,-0.000897742691449821,-0.0002900384133681655,0.0009028507047332824]","285.8568115234375","Infinity","7166520.5","Infinity","0.37771543860435486","0.0020706746727228165","3.537287712097168","0.002188867656514049","2677.035888671875","0.5202443599700928","0.9363137254152948","0.9286576384123252","0.928657591342926","1.0036518785122786","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-23","TimeDiff","sol","","1.574331945649149","1.3229759121564022","1.3229759400533263","24","39","wn_l5_4","8889","137","137","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","137","true","x_start","20","0.0001","dpm","0","true","0","0","1.0342718362808228","1.176117181777954","1.3625232671291891","1.362523268945395","1.7735687606222943","0.0058337110094726086","0.006964472588151693","0.9676573930161368","0.9800634807206756","1.1761172250906893","[-2.7107957545347006e-10,1.7965282039789088e-10,3.9837086407423783e-10,3.2115565762325105e-10,-3.462626851913342e-10,-0.0009517419384792448,-0.0010130048030987382,-0.000333114032400772,0.0007858494645915926,0.0005738229374401271,0.0004238660912960768,0.000010928202755167147,-0.0016390555538237097,-0.003236425807699561,-0.00406116247177124,-0.0033200059551745653,0.000002478430360497441,-4.812714671231787e-10,-4.956016153023768e-10,5.102009925650464e-10,-6.790966677883148e-10,4.4253481434886055e-10,-5.767568089787288e-10,8.337406459668628e-11]","41.96457290649414","42197252","2983.828369140625","9879857152393216","1.3625231981277466","0.00787485670298338","1.7735687494277954","0.009371023625135422","54.62443161010742","1.0040323734283447","0.9800634994689992","0.9676573937897104","0.9676573276519777","1.079479857494939","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-23","TimeDiff","cup","","0.4855362673035238","0.3632721478965885","0.3632721354169638","48","35","wn_l5_3","7216","270","270","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","270","true","x_start","20","0.0001","dpm","0","true","0","0","1.058560490608215","1.392346978187561","0.6450641035490217","0.6450641029077142","1.152847627967484","0.021425478160381317","0.02790793962776661","1.0237005785626874","1.0284229226887305","1.3923469762832723","{""_type"":""histogram"",""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""bins"":[-0.5,-0.46875,-0.4375,-0.40625,-0.375,-0.34375,-0.3125,-0.28125,-0.25,-0.21875,-0.1875,-0.15625,-0.125,-0.09375,-0.0625,-0.03125,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5]}","27.266029357910156","33673908","2374.552734375","398304890390052860","0.645064115524292","0.007568169385194778","1.1528475284576416","0.010115339420735836","48.7293815612793","0.8547053933143616","1.028422938975206","1.023700580622034","1.0237005949020386","1.3348391245333917","0.0000034336838202925152"
"patchtst_2023-11-17_02-37-22","TimeDiff","traf","","0.5493106832741043","0.4771920375827124","0.47719203353062783","24","39","wn_l5_3","23100","963","963","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","963","true","x_start","20","0.0001","dpm","0","true","0","0","1.006688117980957","1.417817234992981","0.5437159157458468","0.5437159156296066","0.8089242799147746","0.006063379812985659","0.006962770596146584","0.99931540176992","1.0186479291674857","1.417817322486322","[0.010262690484523771,0.003601522883400321,0.0016158954240381718,0.0018684364622458816,0.0007948202546685934,0.000038606984162470326,0.00006697279604850337,0.0004941819352097809,0.0017973516369238496,0.004405177664011717,0.005094134248793125,0.0009020287543535231,-0.0019030015682801604,-0.0020819855853915215,-0.0024097152054309845,-0.0020530291367322206,-0.0011174215469509363,0.003239964134991169,0.006218830589205027,0.004448771011084318,0.0005654298001900315,-0.003841129131615162,-0.004522320348769426,-0.000689158623572439]","0.028474794700741768","398.38226318359375","0.0017947038868442178","15744166912","0.5437159538269043","0.0028404288459569216","0.8089243173599243","0.0032697063870728016","0.04236394539475441","0.9777840971946716","1.018647912360433","0.9993154006862504","0.9993154406547546","0.9950205789521954","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-22","TimeDiff","elec","","0.3624068147540108","0.3436170082622417","0.34361701723010407","24","39","wn_l5_3","14955","370","370","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","370","true","x_start","20","0.0001","dpm","0","true","0","0","0.9527676105499268","1.0773813724517822","0.3736183644729341","0.37361836165168866","3.476533862026115","0.005516095086932182","0.005894044879823923","0.9147168973947536","0.9267040588180104","1.0773812812858343","[0.007524948567152023,0.006557196378707886,0.00638437969610095,0.005804748274385929,0.005466606933623552,0.004982608370482922,0.004289673641324043,0.004519852809607983,0.003564056707546115,0.0034086110536009073,0.0041696662083268166,0.004021807573735714,0.003473153105005622,0.003387048142030835,0.0025702468119561672,0.0017169625498354435,0.001966431038454175,0.002183479024097323,0.0008231659303419292,0.0008620285079814494,-0.00013535514881368726,-0.0003374132502358407,0.0003349267935846001,0.0009059590520337224]","282.7561340332031","Infinity","6922462.5","Infinity","0.3736183643341065","0.0020453394390642643","3.476534128189087","0.002157183364033699","2631.057373046875","0.5113090872764587","0.926704060596471","0.9147168973028434","0.9147169589996338","0.990199551021164","0.0000022528399544939195"
"patchtst_2023-11-17_02-37-21","TimeDiff","elec","","0.3802420810382092","0.3604344152619487","0.3604344169226639","24","39","wn_l5_5","14827","370","370","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","370","true","x_start","20","0.0001","dpm","0","true","0","0","0.9839667677879332","1.1126610040664673","0.3909935383336063","0.3909935400363207","3.664163328065251","0.005767143331468105","0.006164703518152237","0.9469601304705436","0.96888009520299","1.1126610603917826","[0.007569130510091782,0.006273381412029266,0.005715260747820139,0.0053922757506370544,0.005294534843415022,0.00464655039831996,0.004027043003588915,0.0043287258595228195,0.0037060172762721777,0.003295551985502243,0.004336330574005842,0.0035791066475212574,0.003189555136486888,0.002387410262599587,0.002248194068670273,0.0013510119169950483,0.0013698552502319217,0.0010988821741193533,0.0005317623727023602,0.0005140154389664531,-0.0000482225113955792,-0.0006130099063739181,-0.00020380664500407877,0.0012977744918316605]","295.90576171875","Infinity","7689841.5","Infinity","0.39099356532096863","0.0021454428788274527","3.664163827896118","0.002263345755636692","2773.056396484375","0.53890460729599","0.968880095528318","0.94696013019673","0.9469602108001708","0.9842095288597584","0.0000022528399544939195"
"patchtst_2023-11-17_02-14-55","TimeDiff","sol","","1.6107930340734844","1.343278855393477","1.34327885022738","24","39","wn_l5_2","8734","137","137","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","137","true","x_start","20","0.0001","dpm","0","true","0","0","1.0568275451660156","1.2017662525177002","1.3696574256367746","1.369657425796197","1.808037924743816","0.00592554546892643","0.007132617756724358","0.9733094954513484","0.995491645763043","1.2017663101939358","[-4.408624854068677e-10,6.542734687364771e-10,7.186624212396353e-11,7.972877219541985e-11,-1.1653029929892256e-10,0.004614863079041243,0.0048859077505767345,0.0042627546936273575,0.004058526363223791,0.0040894970297813416,0.004877022467553616,0.004579298663884401,0.003053161082789302,0.0019381750607863069,0.0011926747392863035,0.0002560733410064131,-0.00005008018342778087,-2.7926530879462952e-11,6.076538577870494e-11,-1.6381204726023668e-10,1.2724789277829274e-10,-4.722670032819565e-10,-2.7215793854673542e-11,-9.883048546210915e-11]","42.18429946899414","40737092","3100.936279296875","9430002277810176","1.3696573972702026","0.007995707914233208","1.8080378770828247","0.009588053449988363","55.68605041503906","1.0235456228256226","0.99549164844937","0.9733094965551128","0.9733093976974488","1.0642637894111078","0.0000022528399544939195"
"patchtst_2023-11-17_02-14-52","TimeDiff","elec","","0.37220497528392504","0.35283674131765047","0.3528367310212159","24","39","wn_l5_2","15252","370","370","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","370","true","x_start","20","0.0001","dpm","0","true","0","0","0.9751181602478028","1.1026551723480225","0.3833818111287126","0.3833818071787413","3.5718285198159507","0.005657666828483343","0.00604499876499176","0.9399698351455348","0.9504880647375912","1.1026550999107014","[0.007993935607373714,0.006168674677610397,0.005957812070846558,0.0055556329898536205,0.005074439570307732,0.004451123997569084,0.003613173961639404,0.0036777674686163664,0.002866939175873995,0.002833221573382616,0.003933041822165251,0.0031290713232010603,0.002872359706088901,0.0020505087450146675,0.001438701176084578,0.0008273741696029902,0.001155743608251214,0.0009182438952848316,-0.00015968653315212578,0.0003067776851821691,-0.0009932606481015682,-0.0009806340094655752,-0.0007197771919891238,0.00016793195391073823]","290.1451721191406","Infinity","7307165","Infinity","0.3833818435668946","0.0021002187859266996","3.571828842163086","0.002215505810454488","2703.1767578125","0.5253245234489441","0.9504880537577652","0.939969835593548","0.939969837665558","1.0127186050122738","0.0000022528399544939195"
"patchtst_2023-11-17_02-14-43","TimeDiff","cup","","0.49245975603915865","0.3661569236786658","0.3661569183302553","48","39","wn_l5_2","16849","270","270","5","1","CNN","CNN","none","0.9","none","0.3","64","5","256","256","100","256","5","5","5","cuda:0","100","64","100","256","100","270","true","x_start","20","0.0001","dpm","0","true","0","0","1.0660253763198853","1.4021656513214111","0.6357085518780631","0.6357085529891983","1.1548817506499494","0.02169956266880035","0.028134847059845924","1.0080635024761675","1.041578982115837","1.4021657415562765","{""bins"":[-0.5,-0.46875,-0.4375,-0.40625,-0.375,-0.34375,-0.3125,-0.28125,-0.25,-0.21875,-0.1875,-0.15625,-0.125,-0.09375,-0.0625,-0.03125,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5],""values"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0],""_type"":""histogram""}","26.870582580566406","32816164","2382.939697265625","354522818408349700","0.6357085704803467","0.007628269493579864","1.1548818349838257","0.010259578935801985","48.81536483764648","0.8562134504318237","1.0415790025839753","1.0080635026652014","1.0080634355545044","1.350472637391719","0.0000022528399544939195"
